Year,Month,Month_Name,Oil,Coal_Lignite,Natural_Gas,Total_CO2
1987,1,JAN,2887.26,703.79,522.03,4113.08
1987,2,FEB,2506.05,697.51,523.5,3727.06
1987,3,MAR,2756.09,686.68,605.84,4048.62
1987,4,APR,2699.84,741.4,593.62,4034.86
1987,5,MAY,2740.84,1370.03,678.79,4789.66
1987,6,JUN,2631.35,657.26,764.46,4053.07
1987,7,JUL,2732.06,994.23,733.9,4460.19
1987,8,AUG,2629.23,743.33,713.75,4086.31
1987,9,SEP,2575.67,631.3,775.27,3982.24
1987,10,OCT,2653.76,792.06,785.72,4231.54
1987,11,NOV,2576.1,733.94,763.19,4073.23
1987,12,DEC,2763.92,788.68,689.86,4242.46
1988,1,JAN,2983.38,837.03,773.69,4594.1
1988,2,FEB,2837.38,711.57,763.32,4312.27
1988,3,MAR,3158.75,842.14,797.62,4798.52
1988,4,APR,3058.05,912.04,772.05,4742.14
1988,5,MAY,3069.92,924.42,822.74,4817.07
1988,6,JUN,3047.9,775.08,833.54,4656.53
1988,7,JUL,3001.45,902.32,819.2,4722.96
1988,8,AUG,3104.1,784.0,859.46,4747.56
1988,9,SEP,3063.37,698.23,833.16,4594.76
1988,10,OCT,2988.65,914.94,861.32,4764.91
1988,11,NOV,3072.87,727.61,815.9,4616.38
1988,12,DEC,3223.4,794.92,824.58,4842.89
1989,1,JAN,3636.9,975.1,823.88,5435.88
1989,2,FEB,3247.98,899.89,729.76,4877.63
1989,3,MAR,3762.54,1034.97,815.87,5613.39
1989,4,APR,3653.24,828.2,803.55,5284.99
1989,5,MAY,3696.45,919.34,877.11,5492.9
1989,6,JUN,3687.72,1121.06,878.18,5686.96
1989,7,JUL,3638.35,1015.25,914.87,5568.48
1989,8,AUG,3699.61,1052.55,859.83,5612.0
1989,9,SEP,3475.04,920.67,869.81,5265.52
1989,10,OCT,3650.98,962.74,890.89,5504.62
1989,11,NOV,3827.54,1085.0,768.9,5681.43
1989,12,DEC,3933.15,1149.08,814.59,5896.82
1990,1,JAN,4358.93,1275.65,808.51,6443.08
1990,2,FEB,4124.1,1046.11,739.67,5909.88
1990,3,MAR,4609.71,1274.99,833.42,6718.13
1990,4,APR,4271.81,1349.89,802.67,6424.37
1990,5,MAY,4420.07,1451.11,854.81,6725.98
1990,6,JUN,4481.39,1550.44,800.33,6832.16
1990,7,JUL,4539.3,1282.68,814.82,6636.8
1990,8,AUG,4931.73,1315.33,834.21,7081.27
1990,9,SEP,4548.56,1327.56,852.52,6728.65
1990,10,OCT,4193.94,1554.12,846.3,6594.37
1990,11,NOV,4334.33,1568.66,896.99,6799.98
1990,12,DEC,4407.61,1597.13,902.51,6907.26
1991,1,JAN,5093.54,1779.99,978.69,7852.22
1991,2,FEB,4357.39,1452.98,920.39,6730.77
1991,3,MAR,4784.52,1622.07,1147.17,7553.77
1991,4,APR,4748.89,1506.89,1077.25,7333.03
1991,5,MAY,4822.76,1585.26,1178.73,7586.75
1991,6,JUN,4545.75,1668.37,1173.35,7387.47
1991,7,JUL,4869.06,1713.14,1120.87,7703.07
